UID,Name,Details,Status,RelavantLink_1,RelavantLink_2,RelevantLink_3,Census_tract,island,Priority_1_Cesspool_Count,Priority_2_Cesspool_Count,Priority_3_Cesspool_Count,Total_Cesspools,W_in_2_miles_service_area,WWTP_Capacity,WWTP_1_Name,WWTP_2_Name,Total_N_load_kg_yr,Flow_rt,Cost_symbol,Collection_Length_ft,Conveyance_Length_ft,New_WWTP_Needed,WWTP_Upgrade_Needed,Neighborhood_Pump_Stations,Regional_Pump_Stations
H-2,Naalehu,"This project is in the planned or underway phase. The deadline to close the large capacity cesspools is December 31, 2027. An extension petition is pending County approval.
See relevant document(s) below.",Planned or Underway (P),https://go.hawaii.edu/iXr,,,Ka Lae,Hawaii,0,0,46,46,"Yes, County",Limited Capacity,Naalehu WWTP,,1748,20700,(5) - $$$$$,10050,215,Y,N,0,1
H-20,Seaview,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/iXk,,,Kalapana-Kapoho,Hawaii,0,0,187,187,No,,,,7106,84150,(5) - $$$$$,39803,5280,Y,N,4,1
H-21,Kehena,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/2Xi,,,Kalapana-Kapoho,Hawaii,0,0,44,44,No,,,,1672,19800,(5) - $$$$$,9795,5280,Y,N,2,1
H-22,Kaʻohe,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),,,,South Kona,Hawaii,0,0,120,120,No,,,,4560,54000,(5) - $$$$$,9503,5280,Y,N,3,1
H-23,Kīloa,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Konawaena,Hawaii,0,0,187,187,No,,,,7106,84150,(4) - $$$$,13701,5280,Y,N,2,1
H-24,Captain Cook,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Konawaena,Hawaii,0,0,110,110,No,,,,4180,49500,(5) - $$$$$,9760,5280,Y,N,2,1
H-25,Kealakekua,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Konawaena,Hawaii,0,0,314,314,"Yes, Private",Unknown,Hokuli'a  WWTP,,11932,141300,(4) - $$$$,26331,8536,N,Y,5,2
H-26,Kalaoa,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),,,,Kalaoa,Hawaii,0,0,1616,1616,No,,,,61408,727200,(4) - $$$$,171498,5280,Y,N,39,14
H-27,Haiwi,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,North Kohala,Hawaii,0,0,331,331,No,,,,12578,148950,(4) - $$$$,27536,5280,Y,N,6,2
H-28,Kapaau,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,North Kohala,Hawaii,0,0,222,222,No,,,,8436,99900,(5) - $$$$$,17703,5280,Y,N,7,3
H-29,Puʻukapu Homesteads,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),,,,Waimea - Kohala,Hawaii,0,0,181,181,No,,,,6878,81450,(4) - $$$$,12403,5280,Y,N,1,1
H-3,Hillcrest,"This project area is within 2 miles of the existing municipal Kealakehe wastewater service area and a private wastewater service area. There are currently no Hawaiʻi County or private-sector plans to extend wastewater service to this area. However, the Kealakehe WWTP may have limited available capacity to serve all or part of the project area, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Pua'a,Hawaii,88,0,0,88,"Yes, County",Limited Capacity,Kealakehe,,3344,39600,(3) - $$$,4238,354,N,N,2,1
H-30,Puʻukapu Homesteads East,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),,,,Waimea - Kohala,Hawaii,0,0,244,244,No,,,,9272,109800,(4) - $$$$,11486,5280,Y,N,1,0
H-31,Ola Mamalahoa Hwy West,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),,,,Waimea - Pu'u Anahulu,Hawaii,0,0,253,253,No,,,,9614,113850,(4) - $$$$,14756,5280,Y,N,2,1
H-32,Paauilo,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Paauhau-Paauilo,Hawaii,0,0,139,139,No,,,,5282,62550,(5) - $$$$$,12083,5280,Y,N,3,1
H-33,Laupahoehoe,"This area has no active plans for centralized municipal or private sewer.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,North Hilo,Hawaii,0,0,129,129,No,,,,4902,58050,(4) - $$$$,11624,5280,Y,N,1,0
H-34,Ponahawai,"This project area is within 2 miles of the existing municipal Hilo wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Hilo: Kahuku-Kaumana,Hawaii,0,0,129,129,No,,,,4902,58050,(5) - $$$$$,18542,5280,Y,N,0,0
H-35,Kaūmana Homesteads,"This project area is within 2 miles of the existing municipal Hilo wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Hilo: Kahuku-Kaumana,Hawaii,0,0,125,125,No,,,,4750,56250,(4) - $$$$,9423,5280,Y,N,1,0
H-36,Keaau,"This project area is not within 2 miles of an existing wastewater service area but has been identified in the Puna Wastewater Facilities Plan as a potential project area.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/2Xi,,,Keaau,Hawaii,0,0,188,188,No,,,,7144,84600,(5) - $$$$$,26054,5280,Y,N,6,2
H-37,Mountain View,"This project area is not within 2 miles of an existing wastewater service area but has been identified in the Puna Wastewater Facilities Plan as a potential project area.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/2Xi,,,Volcano-Mt. View,Hawaii,0,0,109,109,No,,,,4142,49050,(5) - $$$$$,16259,5280,Y,N,0,0
H-38,Tiki Gardens,"This project area is not within 2 miles of an existing wastewater service area but has been identified in the Puna Wastewater Facilities Plan as a potential project area.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/2Xi,,,Orchidland-Ainaloa,Hawaii,0,0,624,624,No,,,,23712,280800,(5) - $$$$$,130435,5280,Y,N,6,2
H-39,Waiʻaka,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXN,,,Waimea - Kohala,Hawaii,10,0,273,283,"Yes, Private",Unknown,"Waimea Wastewater Company, Inc.",,10754,127350,(5) - $$$$$,25633,11216,N,Y,5,2
H-4,Kailua-Kona,"This project area is within 2 miles of the existing municipal Kealakehe wastewater service area and a private wastewater service area. There are currently no Hawaiʻi County or private-sector plans to extend wastewater service to this area. However, the Kealakehe WWTP may have limited available capacity to serve all or part of the project area, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Kailua,Hawaii,680,0,0,680,"Yes, County",Limited Capacity,Kealakehe,,25840,306000,(3) - $$$,46709,3783,N,N,13,5
H-40,Waimea,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXN,,,Waimea - Pu'u Anahulu,Hawaii,0,0,585,585,"Yes, Private",Unknown,"Waimea Wastewater Company, Inc.",,22230,263250,(4) - $$$$,69377,10,N,Y,9,3
H-41,East Waimea,"This project area has been identified as a potential project area in the Puakō and South Kohala Regional Wastewater Master Plan.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXN,,,Waimea - Kohala,Hawaii,0,0,225,225,"Yes, Private",Unknown,"Waimea Wastewater Company, Inc.",,8550,101250,(5) - $$$$$,28578,6343,N,Y,4,2
H-42,Puako,"Puako community is pursuing a sewer line connection to a nearby private treatment plant.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/iXD,,,Kawaihae - Anaeho'omalu,Hawaii,120,0,0,120,"Yes, Private",Unknown,Kalahuipua'a Lagoons WWTP,,4560,54000,(4) - $$$$,9898,6165,N,Y,0,0
H-5,Kealakehe HHL,"This project area is within 2 miles of the existing municipal Kealakehe wastewater service area and a private wastewater service area. There are currently no Hawaiʻi County or private-sector plans to extend wastewater service to this area. However, the Kealakehe WWTP may have limited available capacity to serve all or part of the project area, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),,,,Kealakehe,Hawaii,110,393,0,503,"Yes, County",Limited Capacity,Kealakehe,,19114,226350,(2) - $$,28341,32,N,N,7,3
H-6,Honokaa,"This project area is within 2 miles of the existing municipal Honokaʻa wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area.  However, the Honokaa WWTP may have very limited available capacity for less than 200 homes with cesspools, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Honokaa-Kukuihaele,Hawaii,0,0,631,631,"Yes, County",No,Honokaa WWTP,,23978,283950,(4) - $$$$,64567,15,N,Y,13,5
H-7,Paauhau,"This project area is within 2 miles of the existing municipal Honokaʻa wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area.  However, the Honokaa WWTP may have very limited available capacity for less than 200 homes with cesspools, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Paauhau-Paauilo,Hawaii,0,0,115,115,"Yes, County",Limited Capacity,Honokaa WWTP,,4370,51750,(5) - $$$$$,8387,11602,N,N,1,1
H-8,Honomu,"This project area is within 2 miles of the existing municipal Kulaimano wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area. However, the Kulaimano WWTP may have limited available capacity to serve all or part of the project area, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Paukaa-Wailea,Hawaii,0,0,202,202,"Yes, County",Limited Capacity,Kulaimano,,7676,90900,(4) - $$$$,13708,16335,N,N,1,1
H-9,Wainaku West,"This project area is within 2 miles of the existing municipal Hilo wastewater service area. There are currently no Hawaiʻi County plans to extend service to this area. However, the Hilo WWTP may have limited available capacity to serve all or part of the project area, depending on how capacity is allocated among future connections in surrounding areas.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/XXi,,,Hilo: Upper Waiakea Forest Reserve,Hawaii,0,0,170,170,"Yes, County",Limited Capacity,Hilo WWTP,,6460,76500,(3) - $$$,10629,5731,N,N,0,0
K-1,Kekaha,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, the county identifies this as one of the highest priority low hanging fruit areas. However, the current wastewater treatment plant lacks capacity and sits in a tsunami zone; relocation may be required.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Kekaha-Waimea,Kauai,890,0,0,890,"Yes, County",No,Waimea Wastewater Treatment Plant,,33820,400500,(4) - $$$$,69326,4507,N,Y,2,1
K-10,Puhi,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area is within 2 miles of the county wastewater service area, but geographic boundaries prevent the expansion of county sewer service to this area. The project area is also within 2 miles of a private wastewater service area. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/9Xi,,Hanamaulu-Lower Puhi,Kauai,0,257,0,257,"Yes, Private",No,Lihue-Puhi Wastewater Facility,,9766,115650,(3) - $$$,15037,31,N,Y,3,1
K-11,Haena,"There are currently no plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Haena-Hanalei,Kauai,122,0,0,122,No,,,,4636,54900,(4) - $$$$,10421,5280,Y,N,0,0
K-12,Kilauea,"There are currently no plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/iXc,,Kalihiwai-Kilauea,Kauai,0,0,572,572,No,,,,21736,257400,(4) - $$$$,37704,5280,Y,N,10,4
K-13,Kipuka St,"There are currently no known plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Koloa-Poipu,Kauai,0,77,0,77,"Yes, Private",Yes,Poipu Wastewater Reclamation Facility,Hyatt Regency Kauai - Grand Hyatt,2926,34650,(3) - $$$,4300,1697,N,N,1,0
K-14,Hoona Rd,"There are currently no known plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Omao-Kukuiula,Kauai,0,3,61,64,"Yes, Private",Yes,Poipu Wastewater Reclamation Facility,,2432,28800,(3) - $$$,4118,1907,N,N,0,0
K-15,Koloa,"There are currently no known plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Koloa-Poipu,Kauai,0,343,5,348,"Yes, Private",Yes,Poipu Wastewater Reclamation Facility,,13224,156600,(3) - $$$,30338,402,N,N,3,1
K-16,Omao,"There are currently no plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure. Despite the project area's proximity to an existing private wastewater service area, its size and geographic boundaries indicate connection to this existing system may be infeasible. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/gXi,,Omao-Kukuiula,Kauai,0,0,231,231,"Yes, Private",Yes,Poipu Wastewater Reclamation Facility,,8778,103950,(4) - $$$$,13932,13997,N,N,4,2
K-17,Lawai,"There are currently no plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure. Despite the project area's proximity to an existing private wastewater service area, its size and geographic boundaries indicate connection to this existing system may be infeasible. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/gXi,,Omao-Kukuiula,Kauai,0,0,520,520,"Yes, Private",Yes,Poipu Wastewater Reclamation Facility,,19760,234000,(4) - $$$$,45021,16928,N,N,11,4
K-18,Anahola,"This project area is on DHHL Land and not in proximity to an exister centralized sewer system. There are historical documents that support feasibility of centralized treatment.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/FFm,,,Anahola,Kauai,0,201,0,201,No,,,,7638,90450,(5) - $$$$$,24849,5280,Y,N,3,1
K-19,Kalaheo,"There are currently no plans for centralized sewer service; however, the area's density supports consideration of centralized wastewater infrastructure. Despite the project area's proximity to an existing private wastewater service area, its size and geographic boundaries indicate connection to this existing system may be infeasible. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Kalaheo-Kalawai Park,Kauai,0,0,1325,1325,No,,,,50350,596250,(4) - $$$$,91850,5280,Y,N,29,10
K-2,Kapaa/Kawaihau,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, the density of this area merits connection and could be technically feasible, but may not be economically feasible. The Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/iX6,,Kapaa Town,Kauai,0,1793,0,1793,"Yes, County",No,Wailua WWTP,,68134,806850,(3) - $$$,102631,5,N,Y,25,9
K-20,Hanalei,"The Hanalei Initiative has completed a USDA-funded feasibility study evaluating area-wide wastewater options for Hanalei’s remaining cesspools and older septic systems. The effort has now moved into the next planning phase, with the Hanalei Initiative working with EPA to begin a Preliminary Engineering Report for a liquid pressure sewer system. According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, there could be significant groundwater and shoreline constraints if there were to be a project in this area.
See relevant document(s) below.",Under Evaluation (E),https://go.hawaii.edu/sCm,https://www.hanaleiinitiative.org/water-quality,,Haena-Hanalei,Kauai,204,0,0,204,"Yes, Private",Unknown,Princeville Resort,,7752,91800,(4) - $$$$,17625,14181,N,Y,1,0
K-21,Hanapepe,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area may be able to be connected to county sewer in the future, however, there are no current plans. 
See relevant document(s) below.",No Active Plans (N),,,,Kaumakani-Hanapepe,Kauai,0,0,339,339,"Yes, County",Yes,Eleele WWTP,,12882,152550,(1) - $,10287,91,N,N,1,0
K-3,Apopo Rd,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, the density of this area merits connection and could be technically feasible, but may not be economically feasible. The Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/iX6,,Kapahi,Kauai,0,55,0,55,"Yes, County",Yes,Wailua WWTP,,2090,24750,(4) - $$$$,4813,510,N,N,1,1
K-4,Kapaa,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, the density of this area merits connection and could be technically feasible, but may not be economically feasible. The Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/iX6,,Kapaa Town,Kauai,0,237,0,237,"Yes, County",Yes,Wailua WWTP,,9006,106650,(3) - $$$,25390,122,N,N,0,1
K-5,Wailua,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, the density of this area merits connection. The Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below. ",No Active Plans (N),https://go.hawaii.edu/sCm,https://go.hawaii.edu/iX6,,Wailua Homesteads,Kauai,652,0,0,652,"Yes, County",Yes,Wailua WWTP,,24776,293400,(2) - $$,37299,347,N,N,8,3
K-6,Olohena,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area may be feasible for a regional facility, however, there are no current plans. The closest existing plant: Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Wailua Homesteads,Kauai,149,36,0,185,"Yes, County",Yes,Wailua WWTP,,7030,83250,(4) - $$$$,11459,16732,N,N,2,1
K-7,Wailua Homesteads,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area may be feasible for a regional facility, however, there are no current plans. The closest existing plant: Wailua WWTP is in a tsunami zone and may be relocated before additional collection to this plant can be considered.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Wailua Houselots,Kauai,325,584,0,909,"Yes, County",No,Wailua WWTP,,34542,409050,(4) - $$$$,56170,10378,N,Y,17,6
K-8,Lihue,"According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area may be able to be connected to county sewer in the future, however, there are no current plans. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Lihue,Kauai,0,70,0,70,"Yes, County & Private",No,Lihue Wastewater Treatment Plant,,2660,31500,(4) - $$$$,5009,258,N,Y,1,1
K-9,"Pua Loke, Ulu Mahi, Ulu Ko","According to a 10/8/25 meeting with the Kauai Division of Wastewater Management, this area is within 2 miles of the county wastewater service area, but geographic boundaries prevent the expansion of county sewer service to this area. The project area is also within 2 miles of the private Lihue-Puhi wastewater service area. 
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/sCm,,,Lihue,Kauai,0,348,0,348,"Yes, Private",Unknown,Lihue-Puhi Wastewater Facility,,13224,156600,(4) - $$$$,19580,88,N,Y,6,2
M-1,Waikapu,"Based on a March 2026 meeting with the Maui County Department of Environmental Management, there are two projects under design and planned for county sewer service in this area. A Maui County study will be conducted to determine additional capacity at the Wailuku-Kahului WWTP. A Central Maui Wastewater Reclamation Facility is also planned.
See relevant document(s) below.",Planned or Underway (P),https://go.hawaii.edu/mCw,https://go.hawaii.edu/iXi,,Waihee-Waikapu,Maui,0,125,0,125,"Yes, County",No,Wailuku-Kahului,,4750,56250,(3) - $$$,9630,45,N,Y,0,0
M-10,Haiku,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, this area is low density and potentially suited only for decentralized or on-site systems
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,East Haiku,Maui,0,0,253,253,No,,,,9614,113850,(4) - $$$$,21695,5280,Y,N,1,1
M-11,East Haiku,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, this area is low density and potentially suited only for decentralized or on-site systems
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,East Haiku,Maui,0,0,99,99,No,,,,3762,44550,(5) - $$$$$,7152,5280,Y,N,3,1
M-12,Hana,"This area is not in proximity to county or private systems and is potentially suited only for decentralized or on-site systems
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,Hana,Maui,0,0,108,108,No,,,,4104,48600,(5) - $$$$$,7462,5280,Y,N,2,1
M-13,Paʻuwela,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, this area is low density and potentially suited only for decentralized or on-site systems
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,East Haiku,Maui,0,0,108,108,No,,,,4104,48600,(5) - $$$$$,11558,5280,Y,N,1,1
M-14,Pukalani,"The surrounding area is served by a private system (Hawaiʻi Water Service). Maui County is not involved. Private package plant, there is likely a limited incentive to expand service area.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,Pukalani,Maui,0,0,1207,1207,"Yes, Private",No,Pukalani WWTP,,45866,543150,(4) - $$$$,116827,5280,N,Y,17,6
M-15,Makawao,"Based on an October 2025 meeting with the Maui County Department of Environmental Management, the county did a rough study ~6–7 yrs ago ($300–400 M, now likely double) $600M+, not published.
See relevant document(s) below.",No Active Plans (N),https://go.hawaii.edu/mCw,,,Makawao,Maui,0,0,1802,1802,"Yes, Private",No,Pukalani WWTP,,68476,810900,(3) - $$$,113355,7872,N,Y,22,8
