TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type,LINKQ
418015033,Eleele WWTP service 96705 & Hanapepe 96716,3522 MAKA'ALA ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150330000
421012029,Eleele WWTP service 96705 & Hanapepe 96716,475 ILUNA ST A,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210120290000
421012042,Eleele WWTP service 96705 & Hanapepe 96716,515 ILUNA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210120420000
421012046,Eleele WWTP service 96705 & Hanapepe 96716,525 ILUNA ST A,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210120460000
418015039,Eleele WWTP service 96705 & Hanapepe 96716,3564 MAKA'ALA ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150390000
418015057,Eleele WWTP service 96705 & Hanapepe 96716,3507 MAKA'ALA ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150570000
418015071,Eleele WWTP service 96705 & Hanapepe 96716,3592 PILIALOHA ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150710000
418015111,Eleele WWTP service 96705 & Hanapepe 96716,5026 ALII RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180151110000
418015119,Eleele WWTP service 96705 & Hanapepe 96716,3641 'UWAO ST A,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180151190000
418015123,Eleele WWTP service 96705 & Hanapepe 96716,3620 'UWAO ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180151230000
418015124,Eleele WWTP service 96705 & Hanapepe 96716,3634 'UWAO ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180151240000
418016005,Eleele WWTP service 96705 & Hanapepe 96716,5124 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180160050000
