TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type
421003029,Eleele WWTP service 96705 & Hanapepe 96716,0000 AKA'ULA ST,"ELEELE, HI 96705",,Inactive
421004016,Eleele WWTP service 96705 & Hanapepe 96716,4741 ELEELE RD,ELEELE,96705,Residential
421004023,Eleele WWTP service 96705 & Hanapepe 96716,4694 ELEELE RD,ELEELE,96705,Residential
421004035,Eleele WWTP service 96705 & Hanapepe 96716,243 KEOKEO RD,ELEELE,96705,Residential
421004050,Eleele WWTP service 96705 & Hanapepe 96716,4741 ELEELE RD A,ELEELE,96705,Residential
421005002,Eleele WWTP service 96705 & Hanapepe 96716,4723 ULIULI RD,ELEELE,96705,Residential
421006050,Eleele WWTP service 96705 & Hanapepe 96716,4695 HOKULOA PL,ELEELE,96705,Residential
421006057,Eleele WWTP service 96705 & Hanapepe 96716,4727 HOKULOA PL,ELEELE,96705,Residential
421006063,Eleele WWTP service 96705 & Hanapepe 96716,4738 HOKULOA PL,ELEELE,96705,Residential
421006065,Eleele WWTP service 96705 & Hanapepe 96716,4730 HOKULOA PL,ELEELE,96705,Residential
421007003,Eleele WWTP service 96705 & Hanapepe 96716,4604 PUALEI ST,ELEELE,96705,Residential
421007056,Eleele WWTP service 96705 & Hanapepe 96716,4600 ULUPUA ST,ELEELE,96705,Residential
421007056,Eleele WWTP service 96705 & Hanapepe 96716,4600 ULUPUA ST,ELEELE,96705,Residential
421007062,Eleele WWTP service 96705 & Hanapepe 96716,4566 ULUPUA ST,ELEELE,96705,Residential
421007068,Eleele WWTP service 96705 & Hanapepe 96716,4585 ULUPUA ST,ELEELE,96705,Residential
421007084,Eleele WWTP service 96705 & Hanapepe 96716,537 LEIPAPA PL,ELEELE,96705,Residential
421007104,Eleele WWTP service 96705 & Hanapepe 96716,510 LAULE'A ST,ELEELE,96705,Residential
421007123,Eleele WWTP service 96705 & Hanapepe 96716,578 AEWA ST,ELEELE,96705,Residential
421007134,Eleele WWTP service 96705 & Hanapepe 96716,559 LAULE'A ST,ELEELE,96705,Residential
421007143,Eleele WWTP service 96705 & Hanapepe 96716,4717 NANEA PL,ELEELE,96705,Residential
421007163,Eleele WWTP service 96705 & Hanapepe 96716,589 AEWA ST,ELEELE,96705,Residential
421008051,Eleele WWTP service 96705 & Hanapepe 96716,4681 KULE'A PL,ELEELE,96705,Residential
421008054,Eleele WWTP service 96705 & Hanapepe 96716,4695 KULE'A PL,ELEELE,96705,Residential
421008085,Eleele WWTP service 96705 & Hanapepe 96716,676 AKALEI ST,ELEELE,96705,Residential
421009005,Eleele WWTP service 96705 & Hanapepe 96716,725 KAUMO'O PL,ELEELE,96705,Residential
421009023,Eleele WWTP service 96705 & Hanapepe 96716,735 LAULE'A ST,ELEELE,96705,Residential
421009030,Eleele WWTP service 96705 & Hanapepe 96716,771 LAULE'A ST,ELEELE,96705,Residential
421009032,Eleele WWTP service 96705 & Hanapepe 96716,779 LAULE'A ST,ELEELE,96705,Residential
421009053,Eleele WWTP service 96705 & Hanapepe 96716,926 'OHI PL,ELEELE,96705,Residential
421009058,Eleele WWTP service 96705 & Hanapepe 96716,684 LAULE'A ST,ELEELE,96705,Residential
421009133,Eleele WWTP service 96705 & Hanapepe 96716,4624 LILIA ST,ELEELE,96705,Residential
421009135,Eleele WWTP service 96705 & Hanapepe 96716,768 LAULE'A ST,ELEELE,96705,Residential
421009144,Eleele WWTP service 96705 & Hanapepe 96716,828 LAULE'A ST,ELEELE,96705,Residential
421010005,Eleele WWTP service 96705 & Hanapepe 96716,4390 'OLALI ST,ELEELE,96705,Residential
421010013,Eleele WWTP service 96705 & Hanapepe 96716,4342 'OLALI ST,ELEELE,96705,Residential
421010052,Eleele WWTP service 96705 & Hanapepe 96716,117 'OKUPU ST,ELEELE,96705,Residential
421011016,Eleele WWTP service 96705 & Hanapepe 96716,482 MEHANA RD,ELEELE,96705,Residential
418008058,Eleele WWTP service 96705 & Hanapepe 96716,3528 HANAPEPE RD A,HANAPEPE,96716,Residential
418008058,Eleele WWTP service 96705 & Hanapepe 96716,3528 HANAPEPE RD,HANAPEPE,96716,Residential
418009029,Eleele WWTP service 96705 & Hanapepe 96716,4634 MOI RD,HANAPEPE,96716,Residential
418009035,Eleele WWTP service 96705 & Hanapepe 96716,4688 MOI RD,HANAPEPE,96716,Residential
418009043,Eleele WWTP service 96705 & Hanapepe 96716,4687 MOI RD,HANAPEPE,96716,Residential
418010013,Eleele WWTP service 96705 & Hanapepe 96716,4816 MOI RD,HANAPEPE,96716,Residential
418010013,Eleele WWTP service 96705 & Hanapepe 96716,4816 MOI RD A,HANAPEPE,96716,Residential
418012002,Eleele WWTP service 96705 & Hanapepe 96716,3609 AHI RD,HANAPEPE,96716,Residential
418013014,Eleele WWTP service 96705 & Hanapepe 96716,4936 MOI RD,HANAPEPE,96716,Residential
418013026,Eleele WWTP service 96705 & Hanapepe 96716,4854 MOI RD,HANAPEPE,96716,Residential
418014015,Eleele WWTP service 96705 & Hanapepe 96716,4954 KOKO RD,HANAPEPE,96716,Residential
418014059,Eleele WWTP service 96705 & Hanapepe 96716,3554 KONALE ST,HANAPEPE,96716,Residential
418014076,Eleele WWTP service 96705 & Hanapepe 96716,3709 'UWAO ST,HANAPEPE,96716,Residential
418014087,Eleele WWTP service 96705 & Hanapepe 96716,3714 'UWAO ST,HANAPEPE,96716,Residential
418014092,Eleele WWTP service 96705 & Hanapepe 96716,4950 ALII RD A,HANAPEPE,96716,Residential
418015009,Eleele WWTP service 96705 & Hanapepe 96716,3507 KONALE ST,HANAPEPE,96716,Residential
418015014,Eleele WWTP service 96705 & Hanapepe 96716,3534 'UWAO ST,HANAPEPE,96716,Residential
418015046,Eleele WWTP service 96705 & Hanapepe 96716,3581 MAKA'ALA ST,HANAPEPE,96716,Residential
418015047,Eleele WWTP service 96705 & Hanapepe 96716,3575 MAKA'ALA ST,HANAPEPE,96716,Residential
418015052,Eleele WWTP service 96705 & Hanapepe 96716,3541 MAKA'ALA ST,HANAPEPE,96716,Residential
418015064,Eleele WWTP service 96705 & Hanapepe 96716,3548 PILIALOHA ST,HANAPEPE,96716,Residential
418015091,Eleele WWTP service 96705 & Hanapepe 96716,5131 ALII RD,HANAPEPE,96716,Residential
418016001,Eleele WWTP service 96705 & Hanapepe 96716,5176 ALII RD,HANAPEPE,96716,Residential
418016008,Eleele WWTP service 96705 & Hanapepe 96716,5125 KAUNALOA ST,HANAPEPE,96716,Residential
418016018,Eleele WWTP service 96705 & Hanapepe 96716,3506 WALEA ST,HANAPEPE,96716,Residential
418016041,Eleele WWTP service 96705 & Hanapepe 96716,5150 KAUNALOA ST,HANAPEPE,96716,Residential
418016047,Eleele WWTP service 96705 & Hanapepe 96716,3531 HAMO PL,HANAPEPE,96716,Residential
418017008,Eleele WWTP service 96705 & Hanapepe 96716,5147 MOI RD,HANAPEPE,96716,Residential
418017019,Eleele WWTP service 96705 & Hanapepe 96716,5095 MOI RD,HANAPEPE,96716,Residential
418018010,Eleele WWTP service 96705 & Hanapepe 96716,5031 MOI RD,HANAPEPE,96716,Residential
418018019,Eleele WWTP service 96705 & Hanapepe 96716,4993 MOI RD,HANAPEPE,96716,Residential
418018023,Eleele WWTP service 96705 & Hanapepe 96716,4977 MOI RD,HANAPEPE,96716,Residential
418018027,Eleele WWTP service 96705 & Hanapepe 96716,4957 MOI RD,HANAPEPE,96716,Residential
418019022,Eleele WWTP service 96705 & Hanapepe 96716,4316 LELE RD,HANAPEPE,96716,Residential
419004007,Eleele WWTP service 96705 & Hanapepe 96716,3871 HANAPEPE RD,HANAPEPE,96716,Commercial
419004015,Eleele WWTP service 96705 & Hanapepe 96716,3731 HANAPEPE RD,HANAPEPE,96716,Residential
419005006,Eleele WWTP service 96705 & Hanapepe 96716,3734 HANAPEPE RD,HANAPEPE,96716,Residential
419005009,Eleele WWTP service 96705 & Hanapepe 96716,4545 KONA RD,HANAPEPE,96716,Commercial
419006003,Eleele WWTP service 96705 & Hanapepe 96716,4464 IONA RD A,HANAPEPE,96716,Residential
419006003,Eleele WWTP service 96705 & Hanapepe 96716,4464 IONA RD B,HANAPEPE,96716,Residential
419006003,Eleele WWTP service 96705 & Hanapepe 96716,4468 IONA RD,HANAPEPE,96716,Residential
419006020,Eleele WWTP service 96705 & Hanapepe 96716,3906 KAUMUALII HWY,HANAPEPE,96716,Residential
419006033,Eleele WWTP service 96705 & Hanapepe 96716,3756 KAUMUALII HWY,HANAPEPE,96716,Commercial
419007004,Eleele WWTP service 96705 & Hanapepe 96716,4441 IONA RD,HANAPEPE,96716,Residential
419007004,Eleele WWTP service 96705 & Hanapepe 96716,4441 IONA RD A,HANAPEPE,96716,Residential
419007016,Eleele WWTP service 96705 & Hanapepe 96716,4380 LEA LN,ELEELE,96705,Residential
419007021,Eleele WWTP service 96705 & Hanapepe 96716,4481 IONA RD,HANAPEPE,96716,Residential
419007022,Eleele WWTP service 96705 & Hanapepe 96716,4461 IONA RD B,HANAPEPE,96716,Residential
419007022,Eleele WWTP service 96705 & Hanapepe 96716,4461 IONA RD A,HANAPEPE,96716,Residential
419007022,Eleele WWTP service 96705 & Hanapepe 96716,4461 IONA RD,HANAPEPE,96716,Residential
419007042,Eleele WWTP service 96705 & Hanapepe 96716,3640 LUKA PL,HANAPEPE,96716,Residential
419010018,Eleele WWTP service 96705 & Hanapepe 96716,4544 PUOLO RD,HANAPEPE,96716,Residential
421001019,Eleele WWTP service 96705 & Hanapepe 96716,278 HUEHU RD,ELEELE,96705,Residential
421012034,Eleele WWTP service 96705 & Hanapepe 96716,489 ILUNA ST,ELEELE,96705,Residential
421012074,Eleele WWTP service 96705 & Hanapepe 96716,460 ILUNA ST,ELEELE,96705,Residential
421012087,Eleele WWTP service 96705 & Hanapepe 96716,416 ILUNA ST A,ELEELE,96705,Residential
421013002,Eleele WWTP service 96705 & Hanapepe 96716,470 KAHUNAONE ST,ELEELE,96705,Residential
421013023,Eleele WWTP service 96705 & Hanapepe 96716,480 WAI'ULILI ST A,ELEELE,96705,Residential
421013025,Eleele WWTP service 96705 & Hanapepe 96716,482 WAI'ULILI ST A,ELEELE,96705,Residential
421013045,Eleele WWTP service 96705 & Hanapepe 96716,408 KAHUNAONE ST,ELEELE,96705,Residential
421003017,Eleele WWTP service 96705 & Hanapepe 96716,4401 WAIALO RD,ELEELE,96705,Residential
421004009,Eleele WWTP service 96705 & Hanapepe 96716,4680 ULIULI RD,ELEELE,96705,Residential
421004033,Eleele WWTP service 96705 & Hanapepe 96716,223 KEOKEO RD,ELEELE,96705,Residential
421005019,Eleele WWTP service 96705 & Hanapepe 96716,124 AKALA RD,ELEELE,96705,Residential
421005031,Eleele WWTP service 96705 & Hanapepe 96716,4560 MELEMELE RD,ELEELE,96705,Residential
421005034,Eleele WWTP service 96705 & Hanapepe 96716,4624 MELEMELE RD,ELEELE,96705,Residential
421005034,Eleele WWTP service 96705 & Hanapepe 96716,4626 MELEMELE RD,ELEELE,96705,Residential
421005045,Eleele WWTP service 96705 & Hanapepe 96716,4623 MELEMELE RD A,ELEELE,96705,Residential
